#nodeA	nodeB	score1
C00129	C00448	null
C00129	C01143	null
C00129	C17432	null
C00235	C04432	null
C00448	C00751	null
C00448	C05859	null
C00448	C20120	null
C01143	C01107	null
C00315	C00750	null
C00315	C00986	null
C00315	C02567	null
C00612	C18170	null
C02714	C05936	null
C00135	C00388	null
C00135	C00785	null
C00135	C00884	null
C00135	C02988	null
C00388	C05127	null
C00884	C00334	null
C02988	C01643	null
C00136	C00877	null
C00136	C18026	null
C00877	C00527	null
C00877	C01144	null
C00877	C02411	null
C00877	C05116	null
C18026	C20238	null
C00137	C01177	null
C00137	C01194	null
C00137	C03546	null
C01177	C04062	null
C01194	C00269	null
C01194	C01277	null
C01194	C04549	null
C03546	C01220	null
C00140	C00611	null
C00140	C01674	null
C00140	C04755	null
C00140	C19802	null
C00140	C19804	null
C00611	C04847	null
C00611	C04886	null
C04755	C04010	null
C19802	C06395	null
C19804	C19803	null
C00141	C00183	null
C00183	C02554	null
C00146	C00850	null
C00146	C03254	null
C03254	C02534	null
C00147	C00559	null
C00148	C01015	null
C00148	C02702	null
C01015	C04281	null
C02702	C01649	null
C03402	C01637	null
C03402	C06113	null
C00153	C00455	null
C00153	C03150	null
C00455	C03150	null
C00154	C00249	5.06347120546603
C00154	C02990	null
C00154	C05272	null
C00154	C16216	null
C00249	C05764	null
C00249	C17202	null
C02990	C00318	null
C05272	C05258	null
C16216	C16217	null
C00219	C00427	6.51108101093719
C00219	C02249	null
C00219	C14749	null
C00219	C14768	null
C00219	C14769	null
C00219	C14770	null
C00219	C14771	null
C00219	C14778	null
C00416	C00269	null
C00416	C00350	null
C00416	C00641	null
C00641	C00350	null
C00641	C04637	null
C00670	C04230	-0.830491537603303
C00670	C04233	null
C01595	C02050	null
C01595	C14825	null
C01595	C14826	null
C06427	C16162	null
C00417	C00490	4.04357395707552
C00159	C02478	null
C00159	C02492	null
C00195	C00319	null
C00195	C00550	null
C00195	C02960	null
C00350	C00189	-0.695955854924509
C00350	C01241	null
C00350	C04438	null
C00350	C05973	null
C00958	C04517	null
C01958	C00370	null
C04438	C01233	null
C05973	C01233	null
C11547	C11548	null
C12126	C00836	null
C12145	C12144	null
C00165	C05675	null
C00165	C05676	null
C05675	C05673	null
C05676	C05674	null
C00191	C03033	null
C00191	C04900	null
C00191	C05787	null
C00191	C11376	null
C00168	C00258	null
C00168	C01146	null
C04188	C04582	null
C00173	C00229	null
C00229	C05223	null
C00229	C05745	null
C00229	C05749	null
C00229	C05752	null
C00229	C05755	null
C00229	C05761	null
C00229	C05764	null
C00229	C16239	null
C00229	C19673	null
C00229	C20375	null
C00180	C06206	null
C00181	C00379	null
C00181	C02266	null
C00379	C00312	null
C02554	C01653	null
C00187	C01164	null
C00187	C01802	null
C00187	C02530	null
C00187	C15519	null
C01164	C01189	null
C01164	C05107	null
C00188	C02992	null
C02992	C01651	null
C00189	C00346	-0.555942766243169
C00189	C04476	null
C00189	C04635	null
C00189	C04756	null
C00346	C00570	null
C00346	C01120	null
C00346	C06124	null
C04476	C03968	null
C04635	C04756	null
C04635	C15646	null
C04756	C03454	null
C04756	C15647	null
